id,name,created_at
2,Economics,2021-07-31 18:19:30.473140+00:00
3,Finance,2021-07-31 18:19:43.229982+00:00
4,Historical,2021-07-31 18:19:49.221871+00:00
5,Fantasy,2021-07-31 18:19:56.916918+00:00
6,Cooking,2021-07-31 18:20:02.315268+00:00
7,Computers & Tech,2021-07-31 18:20:10.279309+00:00
8,Fiction,2021-07-31 18:20:17.988670+00:00
9,Watch,2021-07-31 18:20:31.205351+00:00
10,Detective and Mystery,2021-07-31 18:20:36.975123+00:00
11,Literary Fiction,2021-07-31 18:20:41.851775+00:00
12,Comic,2021-07-31 18:20:54.997368+00:00
20,Fashion,2021-08-09 17:29:13.408340+00:00
